station_id,timestamp_utc,value_ugm3,timestamp_local,lat,lon,station_name,city,is_extreme
8118,2024-12-31 23:30:00+00:00,189.0,2025-01-01 05:00:00+05:30,28.63576,77.22445,New Delhi,delhi,False
8118,2025-01-01 00:30:00+00:00,185.0,2025-01-01 06:00:00+05:30,28.63576,77.22445,New Delhi,delhi,False
8118,2025-01-01 01:30:00+00:00,165.0,2025-01-01 07:00:00+05:30,28.63576,77.22445,New Delhi,delhi,False
8118,2025-01-01 02:30:00+00:00,154.0,2025-01-01 08:00:00+05:30,28.63576,77.22445,New Delhi,delhi,False
8118,2025-01-01 03:30:00+00:00,170.0,2025-01-01 09:00:00+05:30,28.63576,77.22445,New Delhi,delhi,False
8118,2025-01-01 04:30:00+00:00,193.0,2025-01-01 10:00:00+05:30,28.63576,77.22445,New Delhi,delhi,False
8118,2025-01-01 05:30:00+00:00,188.0,2025-01-01 11:00:00+05:30,28.63576,77.22445,New Delhi,delhi,False
8118,2025-01-01 06:30:00+00:00,176.0,2025-01-01 12:00:00+05:30,28.63576,77.22445,New Delhi,delhi,False
8118,2025-01-01 07:30:00+00:00,202.0,2025-01-01 13:00:00+05:30,28.63576,77.22445,New Delhi,delhi,False
8118,2025-01-01 08:30:00+00:00,196.0,2025-01-01 14:00:00+05:30,28.63576,77.22445,New Delhi,delhi,False
8118,2025-01-01 09:30:00+00:00,202.0,2025-01-01 15:00:00+05:30,28.63576,77.22445,New Delhi,delhi,False
8118,2025-01-01 10:30:00+00:00,204.0,2025-01-01 16:00:00+05:30,28.63576,77.22445,New Delhi,delhi,False
8118,2025-01-01 11:30:00+00:00,203.0,2025-01-01 17:00:00+05:30,28.63576,77.22445,New Delhi,delhi,False
8118,2025-01-01 12:30:00+00:00,206.0,2025-01-01 18:00:00+05:30,28.63576,77.22445,New Delhi,delhi,False
8118,2025-01-01 13:30:00+00:00,196.0,2025-01-01 19:00:00+05:30,28.63576,77.22445,New Delhi,delhi,False
